Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789825984,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789825985,10,,Aggregated,0.000000,0.000000,15,17,20,26,27,28,28,28,28,28,28,20,6,15,16.95040000777226,10.751500027254224,27.50289998948574,389.7
1789825986,20,,Aggregated,0.000000,0.000000,17,20,21,23,26,27,28,28,28,28,28,47,11,17,16.657953195154985,3.8790999678894877,27.50289998948574,522.7872340425532
1789825987,30,,Aggregated,20.000000,6.000000,15,18,20,20,25,27,28,33,33,33,33,76,15,15,14.980967106806164,3.517500008456409,32.7021999983117,590.9736842105264
1789825988,40,,Aggregated,22.000000,5.500000,15,17,20,21,27,45,55,56,61,61,61,112,19,15,16.28993660935001,2.5760999997146428,60.762799985241145,692.4642857142857
1789825989,60,,Aggregated,23.333333,4.666667,15,18,20,21,26,41,55,56,61,61,61,149,25,15,15.683900672729884,2.548999967984855,60.762799985241145,705.4697986577181
1789825990,70,,Aggregated,25.500000,4.250000,13,17,18,20,25,34,47,56,61,61,61,195,32,13,14.46316564300408,2.548999967984855,60.762799985241145,761.2051282051282
1789825991,80,,Aggregated,26.600000,4.600000,13,16,18,20,23,27,45,55,61,61,61,248,47,13,13.856478226502546,2.548999967984855,60.762799985241145,773.5887096774194
1789825992,90,,Aggregated,29.666667,4.333333,12,16,18,20,22,26,43,47,61,61,61,302,61,12,13.569379802631362,2.548999967984855,60.762799985241145,773.8609271523179
1789825993,100,,Aggregated,32.571429,5.714286,11,15,18,19,23,33,49,52,61,61,61,368,77,11,13.588735598244492,2.548999967984855,60.762799985241145,814.9728260869565
1789825994,100,,Aggregated,35.250000,7.125000,11,15,18,20,24,34,49,55,87,87,87,428,87,11,13.770746496243829,2.548999967984855,86.74190001329407,843.3084112149533
1789825995,100,,Aggregated,37.111111,7.777778,10,14,17,18,23,32,49,55,87,87,87,477,94,10,12.935056395177579,2.548999967984855,86.74190001329407,897.5702306079664
1789825996,100,,Aggregated,39.800000,7.800000,9,13,16,18,22,29,47,52,87,87,87,523,103,9,12.357371511342036,2.548999967984855,86.74190001329407,936.8470363288719
1789825997,100,,Aggregated,42.100000,8.200000,9,12,16,17,22,28,47,52,87,87,87,570,120,9,11.95351772057301,2.548999967984855,86.74190001329407,940.880701754386
1789825998,100,,Aggregated,44.800000,8.600000,9,12,15,17,21,29,47,52,87,87,87,627,134,9,11.734254068161764,2.548999967984855,86.74190001329407,954.8245614035088
1789825999,100,,Aggregated,46.900000,9.500000,8,11,14,16,21,28,45,52,87,87,87,680,147,8,11.351979265386676,2.548999967984855,86.74190001329407,964.3470588235294
1789826000,100,,Aggregated,49.300000,10.800000,8,11,14,16,21,27,45,52,87,87,87,727,158,8,11.118321183766591,2.548999967984855,86.74190001329407,975.4264099037139
1789826001,100,,Aggregated,50.300000,11.400000,8,11,13,16,21,27,44,52,87,87,87,772,171,8,10.95248095926749,2.548999967984855,86.74190001329407,985.2072538860103
1789826002,100,,Aggregated,51.300000,12.400000,8,11,13,15,21,28,44,52,87,87,87,833,190,8,10.960113326138465,2.548999967984855,86.74190001329407,983.9339735894358
1789826003,100,,Aggregated,50.900000,12.200000,8,10,13,15,20,26,43,52,87,87,87,887,204,8,10.718557948791007,2.454300003591925,86.74190001329407,988.4092446448703
1789826004,100,,Aggregated,51.700000,12.300000,8,10,12,15,20,26,43,51,87,87,87,929,219,8,10.535344672256498,2.454300003591925,86.74190001329407,989.6889128094725
1789826005,100,,Aggregated,51.000000,12.200000,8,10,12,14,20,25,42,51,87,87,87,984,234,8,10.479072155123312,2.389599976595491,86.74190001329407,994.1341463414634
1789826006,100,,Aggregated,50.400000,13.200000,8,10,12,14,20,25,41,49,67,87,87,1034,252,8,10.412200774159373,2.389599976595491,86.74190001329407,992.6595744680851
1789826007,100,,Aggregated,50.100000,13.500000,8,10,12,14,20,25,40,49,67,87,87,1078,268,8,10.324055195001174,2.389599976595491,86.74190001329407,990.2801484230056
