Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789873564,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789873565,20,,Aggregated,0.000000,0.000000,35,40,53,59,76,92,100,100,100,100,100,40,8,35,39.73531499505043,11.756199994124472,103.68010000092909,333.725
1789873566,40,,Aggregated,0.000000,0.000000,24,35,39,46,60,74,92,100,100,100,100,88,17,24,31.557339770105582,3.0045000021345913,103.68010000092909,470.5113636363636
1789873567,80,,Aggregated,40.000000,8.000000,22,26,36,40,59,69,81,100,130,130,130,153,26,22,27.65319150342953,2.6376000023446977,130.89699996635318,626.8104575163399
1789873568,100,,Aggregated,41.000000,8.500000,22,26,35,37,55,67,81,92,130,130,130,216,36,22,26.310789813309114,2.6376000023446977,130.89699996635318,659.1388888888889
1789873569,120,,Aggregated,44.666667,7.666667,24,40,49,57,88,120,130,130,220,220,220,326,58,24,37.87947239077856,2.6376000023446977,221.28500003600493,650.1472392638037
1789873570,140,,Aggregated,49.500000,8.000000,24,42,56,64,85,120,130,130,220,220,220,410,76,24,38.5870665837102,2.6376000023446977,221.28500003600493,667.6121951219512
1789873571,160,,Aggregated,52.600000,9.800000,26,46,59,66,100,120,150,180,240,240,240,519,99,26,41.89941425662423,2.6376000023446977,235.3657999774441,688.8554913294797
1789873572,180,,Aggregated,58.500000,10.833333,27,50,61,68,99,120,150,180,240,240,240,625,130,27,42.93182127848267,2.6376000023446977,235.3657999774441,705.096
1789873573,200,,Aggregated,63.142857,12.285714,30,53,64,71,100,120,160,190,270,270,270,745,161,30,44.63821449496739,2.6376000023446977,271.8594000325538,719.3731543624161
1789873574,200,,Aggregated,67.625000,13.500000,29,52,64,72,100,120,180,220,320,320,320,842,190,29,44.8069938223736,2.6376000023446977,315.2853000210598,764.7802850356295
1789873575,200,,Aggregated,71.888889,15.000000,24,44,60,67,93,120,170,220,320,320,320,951,224,24,41.46275751677819,2.6376000023446977,315.2853000210598,801.3028391167193
1789873576,200,,Aggregated,77.200000,17.000000,22,41,56,65,88,120,160,210,300,320,320,1046,251,22,39.33172256073222,2.6376000023446977,315.2853000210598,825.7256214149139
1789873577,200,,Aggregated,81.300000,18.400000,22,39,55,63,87,120,150,200,300,320,320,1141,289,22,38.40134268058064,2.6376000023446977,315.2853000210598,835.8895705521472
1789873578,200,,Aggregated,88.000000,21.200000,22,38,53,61,86,120,150,190,300,320,320,1249,319,22,37.61999639560371,2.6198000414296985,315.2853000210598,859.5436349079264
1789873579,200,,Aggregated,92.400000,23.500000,20,35,50,59,84,120,150,190,300,320,320,1350,359,20,35.596104369334945,1.7766999662853777,315.2853000210598,865.7407407407408
1789873580,200,,Aggregated,95.800000,26.100000,18,31,46,57,81,110,150,180,300,320,320,1455,399,18,33.757952095010985,1.6408999799750745,315.2853000210598,873.2329896907216
1789873581,200,,Aggregated,99.600000,27.200000,17,28,43,55,80,110,150,180,300,320,320,1544,430,17,32.16365304285596,1.2857999536208808,315.2853000210598,878.1891191709844
1789873582,200,,Aggregated,100.700000,29.600000,16,26,41,52,79,110,140,180,300,320,320,1640,466,16,30.868359510864916,1.1943000135943294,315.2853000210598,881.8914634146341
1789873583,200,,Aggregated,102.400000,31.700000,14,24,38,49,76,110,140,170,300,320,320,1751,500,14,29.513543516571403,1.1943000135943294,315.2853000210598,895.3580810965162
1789873584,200,,Aggregated,101.800000,32.800000,13,23,36,46,74,100,140,170,300,320,320,1852,541,13,28.394382234194342,1.1943000135943294,315.2853000210598,897.0350971922246
1789873585,200,,Aggregated,100.700000,33.900000,13,22,35,44,72,100,130,170,300,320,320,1934,570,13,27.42277807553083,1.1943000135943294,315.2853000210598,903.7471561530507
1789873586,200,,Aggregated,98.800000,33.400000,12,20,32,42,69,100,130,170,270,320,320,2044,603,12,26.36064133958717,1.1943000135943294,315.2853000210598,914.481409001957
1789873587,200,,Aggregated,100.500000,35.200000,11,19,29,40,67,97,130,160,270,320,320,2133,633,11,25.553871541371567,1.1943000135943294,315.2853000210598,919.3183309892171
1789873588,200,,Aggregated,98.400000,34.400000,11,18,27,38,66,93,130,160,270,320,320,2242,673,11,24.593274173867638,1.1943000135943294,315.2853000210598,922.971454058876
1789873589,200,,Aggregated,99.300000,34.800000,10,17,25,36,65,91,130,150,270,320,320,2343,703,10,23.83660068191911,1.1943000135943294,315.2853000210598,932.1169440887751
1789873590,200,,Aggregated,98.600000,34.400000,10,17,25,36,64,91,130,150,270,320,320,2447,738,10,23.53353919015119,1.1943000135943294,315.2853000210598,934.8377605230895
1789873591,200,,Aggregated,99.000000,35.400000,10,16,24,34,64,89,130,150,270,320,320,2549,771,10,23.037593526078446,1.1943000135943294,315.2853000210598,939.28520988623
1789873592,200,,Aggregated,99.000000,34.300000,9,15,23,33,62,88,130,150,270,320,320,2647,807,9,22.468789987871055,1.1943000135943294,315.2853000210598,942.2425387230827
1789873593,200,,Aggregated,98.400000,33.700000,9,15,22,30,61,87,120,150,270,320,320,2739,846,9,21.966824497281724,1.1943000135943294,315.2853000210598,941.701715954728
1789873594,200,,Aggregated,99.700000,33.700000,9,14,21,28,60,85,120,150,270,320,320,2848,879,9,21.433299543010495,1.1943000135943294,315.2853000210598,948.2672050561798
1789873595,200,,Aggregated,99.700000,33.300000,9,14,20,27,60,85,120,150,270,320,320,2951,912,9,21.212562622338496,1.1943000135943294,315.2853000210598,951.8763131141985
1789873596,200,,Aggregated,99.400000,34.500000,9,14,20,26,59,83,120,150,240,320,320,3053,953,9,20.724267965572974,1.1943000135943294,315.2853000210598,950.7517196200458
1789873597,200,,Aggregated,99.500000,33.800000,8,13,19,25,57,83,120,150,240,320,320,3155,982,8,20.326083264311425,1.1943000135943294,315.2853000210598,955.8779714738511
1789873598,200,,Aggregated,100.900000,34.300000,8,13,19,24,56,81,120,150,240,320,320,3256,1010,8,19.94833055875351,1.1943000135943294,315.2853000210598,960.9520884520884
1789873599,200,,Aggregated,100.900000,34.800000,8,13,18,24,55,81,120,150,240,320,320,3337,1039,8,19.60154261284725,1.1943000135943294,315.2853000210598,962.097692538208
1789873600,200,,Aggregated,101.300000,34.500000,8,12,18,23,53,80,120,140,240,320,320,3462,1078,8,19.07103434404461,1.1943000135943294,315.2853000210598,967.2391681109185
1789873601,200,,Aggregated,100.800000,33.600000,8,12,17,22,52,80,120,140,240,320,320,3556,1111,8,18.712984842405533,1.1943000135943294,315.2853000210598,967.9752530933633
1789873602,200,,Aggregated,99.200000,33.500000,8,12,17,22,51,79,120,140,240,320,320,3656,1144,8,18.39013886758986,1.1943000135943294,315.2853000210598,970.2059628008752
1789873604,200,,Aggregated,100.200000,33.900000,8,11,16,21,50,77,120,140,240,320,320,3757,1186,8,18.08276401381478,1.1943000135943294,315.2853000210598,968.6129890870375
1789873605,200,,Aggregated,100.200000,33.900000,7,11,16,20,49,76,110,140,240,320,320,3851,1217,7,17.775295118126444,1.1943000135943294,315.2853000210598,971.7276032199429
1789873606,200,,Aggregated,100.200000,33.700000,7,11,15,20,47,75,110,140,240,320,320,3965,1256,7,17.55227394700626,1.1943000135943294,315.2853000210598,974.4141235813366
1789873607,200,,Aggregated,99.800000,33.500000,7,11,15,20,46,74,110,140,240,320,320,4063,1294,7,17.32557765194145,1.1943000135943294,315.2853000210598,973.9369923701698
1789873608,200,,Aggregated,100.900000,33.900000,7,11,15,19,45,73,110,130,240,320,320,4154,1320,7,17.136868584538902,1.1943000135943294,315.2853000210598,977.0226287915262
1789873609,200,,Aggregated,100.200000,33.900000,7,11,15,19,43,72,110,130,240,320,320,4255,1354,7,16.88302902471423,1.1943000135943294,315.2853000210598,978.5170387779084
1789873610,200,,Aggregated,99.400000,33.600000,7,10,14,19,43,71,110,130,240,320,320,4354,1382,7,16.69213736794404,1.1943000135943294,315.2853000210598,982.2354157096922
1789873611,200,,Aggregated,99.700000,34.300000,7,10,14,19,42,70,110,130,240,320,320,4466,1426,7,16.576015002408994,1.1943000135943294,315.2853000210598,980.462158531124
1789873612,200,,Aggregated,101.100000,34.300000,7,10,14,18,41,69,110,130,240,320,320,4552,1460,7,16.379058348125536,1.1943000135943294,315.2853000210598,980.2750439367311
1789873613,200,,Aggregated,99.800000,34.600000,7,10,14,18,41,69,110,130,240,320,320,4656,1500,7,16.256731250080325,1.1943000135943294,315.2853000210598,979.8900343642612
1789873614,200,,Aggregated,98.900000,34.800000,7,10,14,18,41,68,110,130,240,320,320,4761,1538,7,16.069105167071573,1.1943000135943294,315.2853000210598,981.0174333123293
1789873615,200,,Aggregated,99.800000,35.400000,7,10,13,18,40,67,110,130,240,320,320,4846,1566,7,15.905695749175578,1.1943000135943294,315.2853000210598,982.0420965744944
1789873616,200,,Aggregated,100.100000,35.000000,7,10,13,17,39,67,110,130,240,320,320,4948,1601,7,15.761577789108465,1.1943000135943294,315.2853000210598,983.6639046079224
1789873617,200,,Aggregated,99.300000,34.800000,7,10,13,17,38,66,110,130,230,320,320,5061,1644,7,15.531533471813505,1.1943000135943294,315.2853000210598,983.472831456234
1789873618,200,,Aggregated,97.600000,34.600000,7,10,13,17,38,66,110,130,230,320,320,5157,1667,7,15.386274617245872,1.1943000135943294,315.2853000210598,987.6955594337793
1789873619,200,,Aggregated,99.200000,35.000000,7,10,13,16,37,66,100,130,230,320,320,5255,1702,7,15.266883311264632,1.1943000135943294,315.2853000210598,988.292293054234
1789873620,200,,Aggregated,100.100000,34.800000,7,10,13,16,37,65,100,130,230,320,320,5364,1731,7,15.096844854750056,1.1943000135943294,315.2853000210598,991.7451528709918
1789873621,200,,Aggregated,99.900000,34.800000,7,9,13,16,36,65,100,130,230,320,320,5459,1769,7,14.937362007873194,1.1943000135943294,315.2853000210598,990.7006777798132
1789873622,200,,Aggregated,100.800000,34.500000,7,9,12,15,36,64,100,120,230,320,320,5558,1798,7,14.778900701859607,1.1596999829635024,315.2853000210598,992.8118028067651
1789873623,200,,Aggregated,99.100000,34.000000,6,9,12,15,35,64,100,120,230,320,320,5669,1843,6,14.61044805093024,1.1596999829635024,315.2853000210598,991.9230904921503
